Model,CV-Folds,ROC-AUC Mean,ROC-AUC Std,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Logistic Regression,5,0.8451190707156673,0.013306970966968527,0.804908986063617,0.011013508740776987,0.5997244849609531,0.028126963062156316
Decision Tree,5,0.8256523534464719,0.012528277314729837,0.79085364378347,0.010442417313188568,0.5670874011894018,0.029493082137218952
Random Forest,5,0.8440296017514258,0.01194229168764426,0.7953968804438996,0.011325599174530802,0.5364909397185896,0.029157510713254203
Logistic Regression,10,0.8454063989846438,0.017627674532712113,0.8036315280464217,0.016033671989173236,0.5952471361158475,0.03714599875983997
Decision Tree,10,0.8275384733146727,0.01618863284572016,0.7877282801418439,0.014153086046833538,0.543408896193891,0.03135599491725179
Random Forest,10,0.8445547775643314,0.01889829763791387,0.7972419003868472,0.01715172221808748,0.5449920924392564,0.03504461322050359
