Feature Set,Model,ROC-AUC Mean,ROC-AUC Std,Accuracy Mean,Accuracy Std
All Features,Logistic Regression,0.8451190707156673,0.013306970966968527,0.804908986063617,0.011013508740776987
All Features,Random Forest,0.8440296017514258,0.01194229168764426,0.7953968804438996,0.011325599174530802
PCA (2 Comps),Logistic Regression,0.7981326213557823,0.01468104003551419,0.7701237781469772,0.011544777600803115
PCA (2 Comps),Random Forest,0.8153478364418513,0.016645964583826355,0.779636992709207,0.010773102727675617
PCA (3 Comps),Logistic Regression,0.8230143508798017,0.012644463107716651,0.7861687649203174,0.011212883497133895
PCA (3 Comps),Random Forest,0.8270137187241613,0.013591133791112906,0.7878716973675721,0.012074588674519741
"PCA (90% Var, 15 Comps)",Logistic Regression,0.8355170310698993,0.012590820550819474,0.7982354708368282,0.01410858465866473
"PCA (90% Var, 15 Comps)",Random Forest,0.8307193122957555,0.01477188073453518,0.7864507387573392,0.014442637881628263
