Persona,Count,% of Total,Avg Age,Gender Ratio,Avg Income ($k),Avg Spend Score
The Value Seekers,23,11.5,45.21739130434783,60.9% Female / 39.1% Male,26.304347826086957,20.91304347826087
The Impulsive Budgeters,22,11.0,25.272727272727273,59.1% Female / 40.9% Male,25.727272727272727,79.36363636363636
The Steady Conformists,81,40.5,42.71604938271605,59.3% Female / 40.7% Male,55.2962962962963,49.51851851851852
The Elite Affluents,39,19.5,32.69230769230769,53.8% Female / 46.2% Male,86.53846153846153,82.12820512820512
The Affluent Frugals,35,17.5,41.114285714285714,45.7% Female / 54.3% Male,88.2,17.114285714285714
